Unnamed: 0,SARSA,SARSA Lambda,Q-learning
0,-893.0,-704.0,-812.0
1,-879.5,-776.0,-749.0
2,-824.0,-800.0,-776.0
3,-823.25,-785.0,-758.0
4,-813.8,-799.4,-767.0
5,-815.0,-785.0,-762.5
6,-818.4285714285713,-808.1428571428571,-767.0
7,-804.125,-790.625,-753.5
8,-802.0,-791.0,-769.0
9,-801.2,-796.7,-769.7
10,-798.0909090909091,-785.0,-733.3636363636364
11,-801.5,-792.5,-739.1666666666666
12,-799.5384615384613,-791.2307692307692,-737.8461538461538
13,-806.8571428571429,-794.0,-746.3571428571429
14,-805.4,-794.6,-753.1333333333333
15,-796.8125,-796.25,-759.625
16,-795.5882352941177,-801.4117647058823,-759.0
17,-797.0,-807.5,-760.4444444444445
18,-795.8947368421052,-812.4736842105265,-764.1052631578947
19,-795.8,-818.3,-766.5
20,-797.0,-817.1428571428571,-766.952380952381
21,-795.6363636363636,-816.5,-766.5454545454545
22,-794.0,-816.695652173913,-771.2608695652174
23,-795.5,-814.25,-758.625
24,-798.32,-810.92,-761.12
25,-794.0,-810.9615384615386,-765.8461538461538
26,-792.3333333333335,-806.0,-764.5555555555555
27,-785.25,-806.2142857142858,-766.5714285714286
28,-784.2068965517243,-803.9310344827586,-764.7241379310345
29,-785.1333333333333,-804.5,-768.1
30,-782.2258064516127,-804.741935483871,-766.3225806451613
31,-781.75,-805.25,-764.65625
32,-784.030303030303,-804.3636363636364,-763.0909090909091
33,-786.7058823529413,-803.7941176470587,-765.0588235294117
34,-783.0857142857143,-804.8,-766.9142857142857
35,-784.3888888888887,-805.0,-766.6666666666666
36,-782.2162162162163,-804.2162162162163,-768.6216216216217
37,-781.1052631578948,-800.1578947368422,-767.6315789473684
38,-783.7435897435898,-798.3846153846154,-770.8461538461538
39,-785.125,-796.7,-770.75
40,-784.9024390243902,-796.1951219512197,-774.609756097561
41,-784.9047619047618,-796.1428571428571,-774.6428571428571
